Number;Id;Unique Id;Company Name;Company owner;Company purpose;First adressline;second adressline;Country;Foreign Zip Code;House number;Street;Dwelling number;Locality;Swiss zipcode add on;Swiss zipcode;
275;152780772;CH32010802221;Kosmetikstudio Sabrina Balic;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Buchs;CH;null;120;Churerstrasse;null;null;null;9470;
276;152781783;CH55011710361;MS Motors Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Villars-Ste-Croix;CH;null;8;Route de Sullens;null;null;null;1029;
277;152782015;CH50110153674;Brezel Locarno M. Mikulic;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Locarno;CH;null;null;Largo Zorzi;null;null;null;6600;
278;152783256;CH21735540507;Villa Eike Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Fribourg;CH;null;4;Boulevard de Pérolles;null;null;null;1700;
279;152783368;CH40040342316;Intra-Muros Suisse Sàrl en liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Vufflens-la-Ville;CH;null;null;Route de la Venoge;null;null;null;1302;
280;152787395;CH02010701400;Capuana Carmelinda Nails 2000;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Horgen;CH;null;38;Seestrasse;null;null;null;8810;
281;152792309;CH55011327662;Kastrati Frères Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Mont-sur-Lausanne;CH;null;34;Chemin du Petit-Flon;null;null;null;1052;
282;152796827;CH50140229561;i-NET SOFT GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Ascona;CH;null;56;Via Muraccio;null;null;null;6612;
283;152798530;CH55011724125;BENOHIT.CH Benoît Schmid;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lausanne;CH;null;52;Avenue de Sévelin;null;null;null;1004;
284;152798861;CH03690539849;ITRIS Enterprise AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Urtenen-Schönbühl;CH;null;109;Grubenstrasse;null;null;null;3322;
285;152800877;CH17030365386;Profot Immobilien AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Muri AG;CH;null;39;Pilatusstrasse;null;null;null;5630;
286;152804071;CH66030170118;Petroconsult Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Meinier;CH;null;29;Route de Corsinge;null;null;null;1252;
287;152806182;CH28010171712;Mangold Fusspflege Praxis und Nagelstudio;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Gelterkinden;CH;null;7;Aumattweg;null;null;null;4460;
288;152806845;CH50140218702;Best Clean Sagl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Pregassona;CH;null;5;Via Boschina;null;null;null;6963;
289;152806874;CH50130185895;Truffle Gourmet SA in liquidazione;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Colombo & Partners SA;Lugano;CH;null;39;Via Clemente Maraini;null;null;null;6900;
290;152809967;CH27040056076;NetworkIN GmbH;No Owner Found;No Owner Found;null;c/o Diana Daume;Basel;CH;null;67;Schönaustr.;null;null;null;4058;
291;152810947;CH03640544173;Scheidegger Gartenbau GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Hasle-Rüegsau;CH;null;20;Wydimattstrasse;null;null;null;3415;
292;152814307;CH40040372596;Falkenbräu Baden GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Baden;CH;null;37;Bruggerstrasse;null;null;null;5400;
293;152816602;CH66031620183;HomeTechRenovation Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Châtelaine;CH;null;3;carrefour du Bouchet;null;null;null;1219;
294;152818274;CH10037952120;Midi AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Kastanienbaum;CH;null;1;Kreuzmattwald;null;null;null;6047;
295;152821483;CH40044407708;Garage Deda GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Strengelbach;CH;null;30;Brittnauerstrasse;null;null;null;4802;
296;152823795;CH17030381185;ALPHA International AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zug;CH;null;137;Baarerstrasse;null;null;null;6302;
297;152824398;CH03640528406;Restaurant Indiana GmbH in Liq.;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bern;CH;null;21;Bollwerk;null;null;null;3011;
298;152824777;CH21735633326;Castella Construction;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Sommentier;CH;null;86;Route de Sommentier;null;null;null;1688;
299;152825127;CH03630726583;Positive Food Group AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Münsingen;CH;null;17;Erlenauweg;null;null;null;3110;
300;152826575;CH32090576420;"Brugg" Drahtseil AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;St. Gallen;CH;null;80;Gübsenstrasse;null;null;null;9015;
301;152827178;CH62110087898;Jérôme Puippe Consulting;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Morgins;CH;null;62;Route du Frachier;null;null;null;1875;
302;152827267;CH55011817498;Le Coco Bar Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Montreux;CH;null;88 B;Avenue des Alpes;null;null;null;1820;
303;152829384;CH27040054349;rmp eventservice gmbh;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Riehen;CH;null;262;Bettingerstr.;null;null;null;4125;
304;152830312;CH10047962782;Adelfa GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Horw;CH;null;3;Bachtelstrasse;null;null;null;6048;
305;152831570;CH12040001931;ARTEX Textildruck GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Seedorf UR;CH;null;28;Gitschenstrasse;null;null;null;6462;
306;152834847;CH32010793630;Dogu-Sabah Hotel Restaurant Steinacherhof;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Steinach;CH;null;45;Hauptstrasse;null;null;null;9323;
307;152834870;CH03640629838;Work for Immo GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Brügg BE;CH;null;37A;Industriestrasse;null;null;null;2555;
308;152837194;CH02020068215;Worxout Events Hagen und Partner;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Adliswil;CH;null;3;Büchelring;null;null;null;8134;
309;152838503;CH27090002946;MTA Maritime Transport Agentur AG in Liquidation;No Owner Found;No Owner Found;null;null;Basel;CH;null;9;Grellingerstrasse;null;null;null;4020;
310;152842752;CH10097959766;Impulsenz GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luzern;CH;null;11;Bleicherstrasse;null;null;null;6003;
311;152843208;CH55011570919;Dépraz Informatique;Kanton service not implemented yet;Kanton service not implemented yet;null;null;L'Abbaye;CH;null;2;Rue du Moulin;null;null;null;1344;
312;152845584;CH03610714932;Erdreich Boutique und Floristik Nadine Esposito;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Seeberg;CH;null;51H;Leinackerstrasse;null;null;null;3365;
313;152847890;CH35030122035;Central-Garage Denoth AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Scuol;CH;null;270;Stradun;null;null;null;7550;
314;152848832;CH60030147802;Binengarten AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Naters;CH;null;2;Binenweg;null;null;null;3904;
315;152849056;CH03610550656;Hene's Fahrschule Heinz Kähr;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Grosshöchstetten;CH;null;17;Niesenstrasse;null;null;null;3506;
316;152853508;CH02030403246;CSE Capital AG;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Hanspeter Erb;Möhlin;CH;null;3;Dürslifelsenstrasse;null;null;null;4313;
317;152854471;CH55011036248;FMCK Holding SA;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Fritz Aeschbach;Goumoens-la-Ville;CH;null;9;Chemin sur Fontaine;null;null;null;1376;
318;152855677;CH32030785221;SG RSSP AG St. Gallen Raimund Stacher Sport Projekte;Kanton service not implemented yet;Kanton service not implemented yet;null;null;St. Gallen;CH;null;3;Kornhausstrasse;null;null;null;9000;
319;152856263;CH55011786889;Next Level Real Estate Asset Management SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Pully;CH;null;46;Avenue Général-Guisan;null;null;null;1009;
320;152856493;CH28010181437;gürtler projects;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Ormalingen;CH;null;14;Mattenweg;null;null;null;4466;
321;152859043;CH21735667603;Equisens-Nicolet;Kanton service not implemented yet;Kanton service not implemented yet;null;null;La Corbaz;CH;null;9;Impasse des Rosiers;null;null;null;1782;
322;152860891;CH50140170621;Heiserer Hotel-Vertriebs Sagl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Locarno;CH;null;12;Via Lungolago;null;null;null;6600;
323;152861080;CH40016024735;IM2 M. Röpke;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Villnachern;CH;null;18;Hauptstrasse;null;null;null;5213;
324;152862269;CH03650695067;S - Interieur & Renovation Genossenschaft;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o SLAVI Reinigungen und Umzüge GmbH;Bern;CH;null;51;Riedbachstrasse;null;null;null;3027;
325;152862594;CH55011690059;MC Méthodes Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;La Sarraz;CH;null;5;Grand-Rue;null;null;null;1315;
326;152863458;CH03640503795;Inasoft GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lyssach;CH;null;6;Bahnhofstrasse;null;null;null;3421;
327;152866445;CH66015470177;Tacca SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genève;CH;null;13;rue Adrien-Lachenal;null;null;null;1207;
328;152867657;CH30010183723;Bodenmann Physiotherapie;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Herisau;CH;null;10;Witenschwendi;null;null;null;9100;
329;152868154;CH64541144985;AJr Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bevaix;CH;null;7;rue Adolphe-Ribaux;null;null;null;2022;
330;152868303;CH66018500132;Hunter Global Tracking Ltd;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Carouge GE;CH;null;14;avenue Industrielle;null;null;null;1227;
331;152868786;CH13040241201;Denys Scharnweber Akademie GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lachen SZ;CH;null;1;Kapellstrasse;null;null;null;8853;
332;152868958;CH02040627480;Bürogemeinschaft Kemptthal GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Kemptthal;CH;null;2;Alte Poststrasse;null;null;null;8310;
333;152870056;CH50140173940;BitSense Sagl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Paradiso;CH;null;18;Via Zorzi;null;null;null;6900;
334;152870636;CH35010115796;Macelleria Lardi Sciré;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Poschiavo;CH;null;177 A;Via da Mez;null;null;null;7742;
335;152871506;CH21735532022;inovativa-management Jelena Moser;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Meyriez;CH;null;15;Spitalgasse;null;null;null;3280;
336;152872954;CH32040771150;Gastro Charisma Mc Döner GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Werdenberg;CH;null;1;Grabenstrasse;null;null;null;9470;
337;152874522;CH66005810112;LAGRAIN SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genève;CH;null;15;Rue du Cendrier;null;null;null;1201;
338;152879301;CH29010175960;Malerbetrieb Nicola Pizzillo;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Beringen;CH;null;58;Oberdorf;null;null;null;8222;
339;152880014;CH50140230826;Fortugno Sagl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Locarno;CH;null;7;Via Cittadella;null;null;null;6600;
340;152882007;CH50140172029;Ficovetro Sagl;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Icofin SA;Ascona;CH;null;8;Viale B. Papio;null;null;null;6612;
341;152882792;CH62140089697;Gestion-Paysages Sàrl en liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Collombey-le-Grand;CH;null;13;Chemin des Chintres;null;null;null;1868;
342;152883940;CH32040822113;SE Egger Holz Design GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Eggersriet;CH;null;5;Obere Zelgstrasse;null;null;null;9034;
343;152886028;CH66011970169;CITYROC Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genève;CH;null;5C;plateau de Frontenex;null;null;null;1208;
344;152886198;CH02040453570;Irin-Reinigung GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Winterthur;CH;null;30;Scheideggstrasse;null;null;null;8404;
345;152886672;CH50110152215;Crowin by Samardzic;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Agno;CH;null;31;Via Sasselli;null;null;null;6982;
346;152887453;CH02030385161;Knack Frisch AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Unterengstringen;CH;null;8;Untere Bergstrasse;null;null;null;8103;
347;152887878;CH24140143206;Erich Schwizer Human Capital Management GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Olten;CH;null;25;Föhrenweg;null;null;null;4600;
348;152889090;CH02010732944;Bäckerei Konditorei Gut;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Marthalen;CH;null;1;Maiegass;null;null;null;8460;
349;152889512;CH32040778614;mabucco buchhaltung & controlling GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;St. Gallen;CH;null;9;Kreuzackerstrasse;null;null;null;9000;
350;152892270;CH10037992552;EasyLaserDental AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luzern;CH;null;2;Löwenstrasse;null;null;null;6004;
351;152892715;CH66023520138;Via Roma Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Carouge GE;CH;null;20;place du Marché;null;null;null;1227;
352;152893442;CH40090321808;Wilhelm + Wahlen Bauingenieure AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zofingen;CH;null;2;Junkerbifangstrasse;null;null;null;4800;
353;152895056;CH10048047506;Peter Pfaffnau GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Pfaffnau;CH;null;4;Tannbachstrasse;null;null;null;6264;
354;152898617;CH17030363408;Zuger Weitblick AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zug;CH;null;9;Untermüli;null;null;null;6300;
355;152898959;CH66028720124;Piano Polyfolie Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Chêne-Bougeries;CH;null;55B;route Jean-Jacques Rigaud;null;null;null;1224;
356;152900378;CH10038023240;Schaeren Immobilien und Verwaltungs AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luzern;CH;null;6;Dreilindenhöhe;null;null;null;6006;
357;152902667;CH62140086627;La Batoue Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Jean-Hubert Monnet;Isérables;CH;null;21;Route de Plantorny;null;null;null;1914;
358;152903282;CH50130168643;GIUPPY SA;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Pierino Vanotti;Lugano;CH;null;10;Salita delle Ginestre;null;null;null;6900;
359;152906375;CH09290067631;Kissling + Zbinden AG Ingenieure Planer usic;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Spiez;CH;null;15;Oberlandstrasse;null;null;null;3700;
360;152907587;CH55011060673;Skiservice Forrer Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Avenches;CH;null;3;Chemin de la Voie-Ferrée;null;null;null;1580;
361;152908121;CH16010055498;Gasthaus Raben - Demiri;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Netstal;CH;null;34;Landstrasse;null;null;null;8754;
362;152909132;CH10017985858;Serious Cyrus George Brown;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Emmenbrücke;CH;null;2;Sonnenplatz;null;null;null;6020;
363;152909379;CH50140157789;NA Swiss Security Sagl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Brione sopra Minusio;CH;null;196;Via Contra;null;null;null;6645;
364;152911933;CH17040136763;MADDOX Pharma Swiss GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zug;CH;null;75;Baarerstrasse;null;null;null;6300;
365;152916161;CH50110191441;LINGUETI di Ursula Schmassmann Baroni;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Minusio;CH;null;37;Via Verbano;null;null;null;6648;
366;152919283;CH32040749709;Physio FiTh GmbH in Liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Degersheim;CH;null;3;Feldeggstrasse;null;null;null;9113;
367;152919509;CH28020194850;Pumperniggel Nicole + René Isler;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Sissach;CH;null;1;Hauptstrasse;null;null;null;4450;
368;152921883;CH10048029395;EMK Partner GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bönigen b. Interlaken;CH;null;11;Feldweg;null;null;null;3806;
369;152923209;CH66000950177;Geneva Development Partners Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genève;CH;null;7;chemin de la Rochette;null;null;null;1202;
370;152923273;CH28040210038;YC Resolution GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Aesch BL;CH;null;53;Neuhofweg;null;null;null;4147;
371;152924510;CH35030117268;LYËBIG SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Grono;CH;null;null;Zona Pascolet;null;null;null;6537;
372;152925102;CH15030036319;WinYou Law AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Stans;CH;null;3;Acherweg;null;null;null;6370;
373;152929459;CH40010333791;N.I.S.I. Klima Lüftung Selimaj-Krasniqi;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Aarau Rohr;CH;null;2;Nordstrasse;null;null;null;5032;
374;152929815;CH02040549511;Roci GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Adliswil;CH;null;62;Zelgstrasse;null;null;null;8134;
375;152933656;CH21735516486;Nexcloud SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Villars-sur-Glâne;CH;null;143b;Route de la Glâne;null;null;null;1752;
376;152934868;CH35040043941;ALBEN Media & Communication Sagl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Roveredo GR;CH;null;18A;Strada de San Fedee;null;null;null;6535;
377;152936465;CH35010109685;Aushilfe24 Andreas Gansner;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Domat/Ems;CH;null;36;Gassa Surò;null;null;null;7013;
378;152938027;CH35010119904;Friederich Nicole Casa Bellezza;Kanton service not implemented yet;Kanton service not implemented yet;null;null;St. Moritz;CH;null;2;Plazza Paracelsius;null;null;null;7500;
379;152940863;CH62630190947;YE Racing SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Sion;CH;null;10;Espace des Remparts;null;null;null;1950;
380;152940998;CH35010103643;Reto Burgermeister;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Davos Frauenkirch;CH;null;2;Lengmattastrasse;null;null;null;7276;
381;152942141;CH50120152107;Cucin'arte di Pongelli & Perosa Cherchi;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Camorino;CH;null;5;Via I Runch di Guèra;null;null;null;6528;
382;152942158;CH10018061208;Physiotherapie Feldbreite Simon;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Emmen;CH;null;5;Feldbreiteplatz;null;null;null;6032;
383;152943092;CH17040131153;Webvestor GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Beringen;CH;null;28b;Schönebueche;null;null;null;8222;
384;152944967;CH17040118096;HypoConsulting GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Siebnen;CH;null;1;Wiesenweg;null;null;null;8854;
385;152947078;CH24190073942;Adcom Switzerland AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Biberist;CH;null;108;Grüttstrasse;null;null;null;4562;
386;152948971;CH50130204532;WHITE SPIRIT SA in liquidazione;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Porza;CH;null;15;Via Chiosso;null;null;null;6948;
387;152949427;CH14030041091;FibulaMedical AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Sarnen;CH;null;22;Ennetriederstrasse;null;null;null;6060;
388;152950005;CH55011698475;BRAVO Swiss products Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Vevey;CH;null;9;Rue du Lac;null;null;null;1800;
389;152950720;CH15040036840;Gerima GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Stans;CH;null;2;Kleinlehli;null;null;null;6370;
390;152950867;CH02040660040;m&n partners gmbh;Kanton service not implemented yet;Kanton service not implemented yet;null;Oeltrottenstrasse 29;Uetikon am See;CH;null;null;null;null;null;null;8707;
391;152952340;CH50130216396;Fenix 1028 SA;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Fidecentro Immobiliare SA;Savosa;CH;null;20;Via Cantonale;null;null;null;6942;
392;152953334;CH32040732303;Q. Light GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Rorschach;CH;null;11;Säntisstrasse;null;null;null;9401;
393;152957591;CH03610621863;CCR - Contact Center Rüfenacht;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Jegenstorf;CH;null;3;Dörfli;null;null;null;3303;
394;152958751;CH50110198209;Tognetti Cambio;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Ranzo;CH;null;62;Via Cantonale;null;null;null;6577;
395;152959874;CH55011028476;Prod FMR Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Yverdon-les-Bains;CH;null;87;Avenue Haldimand;null;null;null;1400;
396;152960802;CH02040551271;CAPI GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Ehrikon;CH;null;13;Pfahlmattstrasse;null;null;null;8489;
397;152960908;CH66026600129;Contreras Mendez L'EVENTS;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Les Acacias;CH;null;7;Rue Caroline;null;null;null;1227;
398;152961204;CH32010708978;Sinanovic Renovationen;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Oberuzwil;CH;null;26;Flawilerstrasse;null;null;null;9242;
399;152962735;CH03640754899;Eichenberger 211 GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bern;CH;null;128;Neufeldstrasse;null;null;null;3012;
400;152963160;CH40010370125;Falken Möbel Crevarov;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Wettingen;CH;null;99;Bahnhofstrasse;null;null;null;5430;
401;152963551;CH40044400902;Wyna Informatik GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Zetzwil;CH;null;489;Libellenstrasse;null;null;null;5732;
402;152970775;CH50140163281;New Life Consulting Sagl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Agno;CH;null;48;Via Sasselli;null;null;null;6982;
403;152971527;CH66008330139;Cercle diplomatique de Genève;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Genève;CH;null;36;boulevard Helvétique;null;null;null;1207;
404;152972366;CH27010164344;Linklogic - Tobias Wüthrich;No Owner Found;No Owner Found;null;null;Basel;CH;null;84;Delsbergerallee;null;null;null;4053;
405;152974135;CH50110152182;Studio d'architettura Perez Humberto;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lugaggia;CH;null;null;null;null;null;null;6953;
406;152976760;CH27010171063;Coiffeur AY G. Bulut;No Owner Found;No Owner Found;null;null;Basel;CH;null;30;Clarastr.;null;null;null;4058;
407;152977547;CH03610500998;Lory-Minimarket Thangavadivel;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Bern;CH;null;13;Könizstrasse;null;null;null;3008;
408;152978305;CH02010779442;TEPEL - consulting;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Andelfingen;CH;null;23;Chrottenbuckstrasse;null;null;null;8450;
409;152978995;CH13040165775;Kloess LivingTalents GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Altendorf;CH;null;13a;Talboden;null;null;null;8852;
410;152980762;CH02040463980;Fetim Group Switzerland GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Volketswil;CH;null;18;Industriestrasse;null;null;null;8604;
411;152981425;CH44040263992;SCF Bau GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Berg TG;CH;null;62;Andhauserstrasse;null;null;null;8572;
412;152984889;CH13030188701;Schuhe & Reparaturen Zgraggen AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Küssnacht SZ;CH;null;42;Bahnhofstrasse;null;null;null;6403;
413;152986397;CH55011222853;Café Restaurant Le Grütli Camara;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Montreux;CH;null;8;Rue du Grand Chêne;null;null;null;1820;
414;152986664;CH66012750144;GLOBAL TRADE PRODUCTS Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Luca Cuomo;Genève;CH;null;15;chemin de la Florence;null;null;null;1208;
415;152988226;CH55011479071;Savarese Consulting;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Morges;CH;null;1 B;Rue des Vignerons;null;null;null;1110;
416;152988278;CH24110131880;CMW Consulting & Management Waldburger;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Hubersdorf;CH;null;8;Sattlermattstrasse;null;null;null;4535;
417;152990772;CH55011024590;Sigma 3 Services Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o KBT Fiduciaire SA Vaud;Nyon;CH;null;8;Rue Saint-Jean;null;null;null;1260;
418;152992670;CH50130212989;1903 Capital SA;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Lugano;CH;null;14;Via Giovan Battista Pioda;null;null;null;6900;
419;152993262;CH66050230157;Antunes Galante da Silva Williams - JOBERS;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Troinex;CH;null;8;chemin du Claiset;null;null;null;1256;
420;152993606;CH66004360148;Sylvia Junge Architecte;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Thônex;CH;null;7;chemin de Chantebise;null;null;null;1226;
421;152995686;CH10017992520;Wohlfühl-Tage Marco Rossi;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Luzern;CH;null;8;Mozartstrasse;null;null;null;6004;
422;152997981;CH35040045356;HPV Harmony GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Maienfeld;CH;null;10;Mühlebündtestrasse;null;null;null;7304;
423;152998460;CH55011715469;DENA SHIPPING AND COMMODITIES SARL en liquidation;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Prateo SA;Pully;CH;null;65;Avenue de Lavaux;null;null;null;1009;
424;152998810;CH35030123349;Tobler Metallbau AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Haldenstein;CH;null;51;Oldisstrasse;null;null;null;7023;
425;152999589;CH64541179246;AllWeDo Sàrl;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Boudry;CH;null;68;route de la Gare;null;null;null;2017;
426;153000069;CH17040136162;Apposit Holdings GmbH;Kanton service not implemented yet;Kanton service not implemented yet;null;c/o Amicorp Switzerland AG;Zug;CH;null;75;Baarerstrasse;null;null;null;6300;
427;153002074;CH44010312986;GustoSalt Sallaz;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Ermatingen;CH;null;60;Hauptstrasse;null;null;null;8272;
428;153002306;CH30010182676;Styling- und Modeberatung Jennifer Rissi;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Herisau;CH;null;23;Schützenstrasse;null;null;null;9100;
429;153006758;CH13030253374;BONEL AG;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Altendorf;CH;null;84a;Zürcherstrasse;null;null;null;8852;
430;153007947;CH28010214437;TG Import Export Tancredi;Kanton service not implemented yet;Kanton service not implemented yet;null;null;Augst BL;CH;null;31;Giebenacherstrasse;null;null;null;4302;
